N_epoch;loss
50;1.3386836778590805e-06 
100;9.738713917795394e-07 
150;4.1001066506396457e-07 
200;3.8515686081154855e-07 
250;5.312318440701346e-07 
300;2.531688567296442e-07 
350;4.4784724307646683e-07 
400;3.010245628092889e-07 
450;3.558993988599468e-07 
500;1.339709727949412e-07 
550;8.349182159008705e-09 
600;1.8025856215615475e-08 
650;2.6075888829382165e-07 
700;5.851267154923789e-09 
750;2.994943062162747e-08 
800;1.359818613934749e-08 
850;2.3478770908695878e-08 
900;7.658132773684656e-09 
950;5.6322931502563734e-08 
1000;2.6130618563797724e-08 
1050;5.480288960370672e-08 
1100;7.65036429140764e-08 
1150;5.423241503763165e-08 
1200;4.6192483969207384e-08 
1250;4.639439548327573e-08 
1300;4.803920367749015e-08 
1350;2.8648805926536626e-08 
1400;3.818478867287922e-08 
1450;4.0833045781027975e-08 
1500;2.6928486645374504e-08 
1550;3.17427228520728e-08 
1600;2.9024915284026065e-08 
1650;3.770236017544448e-08 
1700;9.484244250330675e-09 
1750;4.3433486601998087e-08 
1800;3.9951926860339883e-08 
1850;3.121370115195532e-08 
1900;1.994244970262571e-08 
1950;2.953502476486847e-08 
2000;2.1300008543789774e-08 
2050;3.046532400560409e-08 
2100;1.9513509988655643e-08 
2150;1.0988269698941621e-08 
2200;1.7942144346818622e-08 
2250;1.7133973300076378e-08 
2300;1.805234707398995e-07 
2350;2.439920398899176e-08 
2400;4.571997053517407e-08 
2450;2.8487419481280084e-08 
2500;1.1211406166466985e-08 
2550;1.776452367892034e-08 
2600;2.7772870121367533e-09 
2650;1.1433116002024234e-08 
2700;5.777752020662774e-08 
2750;1.1844552288664544e-08 
2800;5.959592867128549e-09 
2850;6.362293282364817e-09 
2900;8.223531988988952e-09 
2950;1.622910509382791e-08 
3000;1.099040991050515e-08 
3050;9.22765658174285e-09 
3100;1.2261637576784779e-08 
3150;3.2809880028707993e-08 
3200;2.227284748414604e-08 
3250;9.759947557313353e-08 
3300;7.191638723611505e-08 
3350;3.09815673739422e-08 
3400;1.589098386347132e-08 
3450;7.193293793420707e-08 
3500;2.9358158374179767e-08 
3550;4.2766664790860886e-09 
3600;9.601627034783177e-09 
3650;4.2060100840899396e-08 
3700;5.9808195686628096e-09 
3750;2.3115052745197318e-08 
3800;5.296328744179846e-09 
3850;7.3152098681816825e-09 
3900;3.9903123118847364e-08 
3950;3.10288892387689e-08 
4000;9.119238858659173e-09 
4050;7.281028005223789e-10 
4100;9.802796826647863e-09 
4150;5.010564945209239e-09 
4200;1.3184509865311611e-08 
4250;3.093418614867005e-08 
4300;2.6193702075829606e-08 
4350;3.243157018289367e-08 
4400;1.4613961009146692e-09 
4450;4.1602618512825986e-09 
4500;4.518873160321846e-09 
4550;5.258324250689839e-08 
4600;8.013593983768885e-10 
4650;8.089175327938848e-09 
4700;2.4788050781694436e-08 
4750;5.5770305280589125e-09 
4800;4.422003802702079e-09 
4850;1.5803446225248762e-09 
4900;1.5181116840778942e-08 
4950;1.4206143370358859e-08 
5000;8.675401068785504e-08 
